Time,SpaceGap,Latitude,Rel_vel,Rel_accel,Score,Track,ID
1628251880.961653,48.0,-0.28,-1.2138,-0.14285,100.0,387.0,8
1628251880.961653,110.16,0.16,-1.8564,0.42855,75.0,388.0,30
1628251880.964614,47.96,0.2,-1.2316500000000001,-0.14285,100.0,394.0,8
1628251881.009208,123.84,-3.68,0.37485,-0.14285,21.0,384.0,34
1628251881.010189,79.8,-3.52,0.4998,0.0,0.0,386.0,1
1628251881.011148,110.0,0.2,-1.90995,-0.14285,75.0,388.0,30
1628251881.014382,47.88,0.08,-1.2316500000000001,0.0,100.0,394.0,8
1628251881.061744,123.84,-3.68,0.35700000000000004,0.8571,21.0,384.0,34
1628251881.062078,79.8,-3.6,0.4998,-0.2857,0.0,386.0,1
1628251881.062229,109.88,0.2,-1.8921000000000001,-0.99995,75.0,388.0,30
1628251881.064502,47.76,0.12,-1.2495,-0.2857,100.0,394.0,8
1628251881.109694,123.88000000000001,-3.68,0.35700000000000004,-0.2857,22.0,384.0,34
1628251881.11031,79.84,-3.6,0.4998,-0.14285,0.0,386.0,1
1628251881.111498,109.76,0.2,-1.8742500000000002,0.42855,75.0,388.0,30
1628251881.116318,47.68,0.12,-1.2495,-0.14285,100.0,394.0,8
1628251881.159602,123.88000000000001,-3.88,0.32130000000000003,-0.14285,22.0,384.0,34
1628251881.160428,79.92,-3.56,0.4998,-0.14285,0.0,386.0,1
1628251881.161437,109.60000000000001,0.24,-1.9278000000000002,0.42855,76.0,388.0,30
1628251881.16503,47.6,0.12,-1.2495,0.0,100.0,394.0,8
1628251881.209501,124.0,-3.7600000000000002,0.2142,-0.42855,21.0,384.0,34
1628251881.210376,79.96000000000001,-3.56,0.48195000000000005,0.0,0.0,386.0,1
1628251881.211273,109.44,0.28,-1.8921000000000001,-1.28565,76.0,388.0,30
1628251881.214234,47.480000000000004,0.2,-1.2495,0.0,100.0,394.0,8
1628251881.259432,124.08,-3.6,0.19635000000000002,-2.14275,22.0,384.0,34
1628251881.260495,80.0,-3.56,0.51765,-0.2857,0.0,386.0,1
1628251881.261481,109.32000000000001,0.28,-1.8742500000000002,0.71425,76.0,388.0,30
1628251881.264523,47.4,0.16,-1.2495,0.0,100.0,394.0,8
1628251881.309872,124.12,-3.6,0.1428,-0.5714,22.0,384.0,34
1628251881.310715,80.04,-3.52,0.48195000000000005,0.71425,0.0,386.0,1
1628251881.310715,47.36,-0.44,-1.2495,0.0,100.0,387.0,8
1628251881.311605,109.2,0.28,-1.94565,0.42855,76.0,388.0,30
1628251881.314261,47.32,0.12,-1.2495,0.0,100.0,394.0,8
1628251881.359955,124.16,-3.6,0.19635000000000002,-1.1428,22.0,384.0,34
1628251881.360444,80.04,-3.52,0.4641,-0.5714,0.0,386.0,1
1628251881.36147,47.28,-0.28,-1.2495,-0.2857,100.0,387.0,8
1628251881.36147,109.08,0.28,-1.90995,-1.4285,76.0,388.0,30
1628251881.364395,47.28,0.2,-1.2495,0.14285,100.0,394.0,8
1628251881.409329,124.16,-3.56,0.19635000000000002,1.1428,22.0,384.0,34
1628251881.410325,80.08,-3.48,0.44625000000000004,-0.2857,0.0,386.0,1
1628251881.410529,47.2,-0.2,-1.2673500000000002,0.0,100.0,387.0,8
1628251881.411535,108.92,0.32,-1.8921000000000001,0.71425,76.0,388.0,30
1628251881.414203,47.2,0.16,-1.2495,0.0,100.0,394.0,8
1628251881.45969,124.2,-3.44,0.19635000000000002,0.0,23.0,384.0,34
1628251881.460714,80.08,-3.44,0.44625000000000004,-0.42855,0.0,386.0,1
1628251881.461265,47.12,-0.08,-1.2852000000000001,-0.2857,100.0,387.0,8
1628251881.461467,108.8,0.36,-1.9635000000000002,0.42855,76.0,388.0,30
1628251881.464569,47.08,0.08,-1.2673500000000002,-0.2857,100.0,394.0,8
1628251881.509926,124.2,-3.4,0.17850000000000002,0.0,23.0,384.0,34
1628251881.510988,80.12,-3.4,0.4284,-0.14285,0.0,386.0,1
1628251881.510988,47.08,-0.04,-1.2852000000000001,-0.14285,100.0,387.0,8
1628251881.511169,108.64,0.4,-1.9278000000000002,-1.57135,77.0,388.0,30
1628251881.514977,47.0,0.08,-1.2852000000000001,-0.2857,100.0,394.0,8
1628251881.559725,124.24000000000001,-3.4,0.17850000000000002,-0.14285,23.0,384.0,34
1628251881.560737,80.12,-3.36,0.41055,-0.2857,0.0,386.0,1
1628251881.561152,46.96,-0.16,-1.2852000000000001,-0.14285,100.0,387.0,8
1628251881.562056,108.52,0.36,-1.9278000000000002,0.71425,77.0,388.0,30
1628251881.56466,46.92,0.08,-1.2852000000000001,0.0,100.0,394.0,8
1628251881.6092,124.24000000000001,-3.36,0.17850000000000002,-0.2857,24.0,384.0,34
1628251881.611718,80.16,-3.3200000000000003,0.41055,-0.2857,0.0,386.0,1
1628251881.611718,108.36,0.32,-1.9813500000000002,0.14285,77.0,388.0,30
1628251881.611718,46.84,0.0,-1.30305,-0.14285,100.0,387.0,8
1628251881.614491,46.84,0.16,-1.2852000000000001,-0.14285,100.0,394.0,8
1628251881.659509,124.28,-3.2800000000000002,0.12495,0.14285,24.0,384.0,34
1628251881.660693,80.2,-3.36,0.4284,0.0,0.0,386.0,1
1628251881.661534,46.64,0.2,-1.2852000000000001,-0.14285,100.0,387.0,8
1628251881.661534,108.24000000000001,0.4,-1.9278000000000002,-0.99995,77.0,388.0,30
1628251881.664485,46.72,0.16,-1.30305,-0.2857,100.0,394.0,8
1628251881.709308,124.24000000000001,-3.16,0.17850000000000002,-0.99995,24.0,384.0,34
1628251881.710239,80.24,-3.4,0.4284,0.14285,0.0,386.0,1
1628251881.710498,46.6,0.36,-1.2852000000000001,0.42855,100.0,387.0,8
1628251881.711625,108.08,0.44,-1.8921000000000001,0.99995,77.0,388.0,30
1628251881.715097,46.6,0.48,-1.3209000000000002,-0.2857,100.0,394.0,8
1628251881.759582,124.24000000000001,-3.08,0.1428,0.8571,24.0,384.0,34
1628251881.760719,80.28,-3.36,0.41055,0.0,0.0,386.0,1
1628251881.761178,46.52,0.48,-1.30305,-0.2857,100.0,387.0,8
1628251881.762061,107.88,0.4,-1.9813500000000002,0.5714,77.0,388.0,30
1628251881.765116,46.52,0.8,-1.3209000000000002,0.0,95.0,394.0,8
1628251881.809273,124.2,-3.0,0.19635000000000002,-0.71425,25.0,384.0,34
1628251881.811,80.28,-3.36,0.41055,-0.2857,0.0,386.0,1
1628251881.811,46.480000000000004,0.56,-1.3209000000000002,-0.14285,100.0,387.0,8
1628251881.811433,107.68,0.4,-1.9813500000000002,-1.57135,77.0,388.0,30
1628251881.814609,46.44,0.76,-1.30305,0.14285,92.0,394.0,8
1628251881.859369,124.24000000000001,-2.88,0.1428,1.28565,25.0,384.0,34
1628251881.860475,80.32000000000001,-3.2800000000000002,0.39270000000000005,0.0,0.0,386.0,1
1628251881.861481,107.56,0.4,-1.9813500000000002,-0.14285,77.0,388.0,30
1628251881.861481,46.4,0.56,-1.3209000000000002,-0.2857,100.0,387.0,8
1628251881.865078,46.36,0.64,-1.3209000000000002,-0.14285,93.0,394.0,8
1628251881.909232,124.24000000000001,-2.84,0.16065000000000002,-1.28565,25.0,384.0,34
1628251881.910388,80.32000000000001,-3.16,0.39270000000000005,-0.14285,0.0,386.0,1
1628251881.910691,46.28,0.56,-1.3209000000000002,-0.14285,100.0,387.0,8
1628251881.911851,107.44,0.4,-1.9635000000000002,0.14285,78.0,388.0,30
1628251881.914265,46.24,0.56,-1.3209000000000002,-0.14285,94.0,394.0,8
1628251881.96015,124.24000000000001,-2.8000000000000003,0.1428,0.42855,25.0,384.0,34
1628251881.960478,80.36,-3.16,0.37485,-0.2857,0.0,386.0,1
1628251881.961508,46.160000000000004,0.56,-1.3566,-0.14285,100.0,387.0,8
1628251881.961699,107.28,0.44,-1.9278000000000002,0.42855,78.0,388.0,30
1628251881.964886,46.160000000000004,0.48,-1.3209000000000002,0.0,95.0,394.0,8
1628251882.009238,124.24000000000001,-2.7600000000000002,0.08925000000000001,-0.2857,25.0,384.0,34
1628251882.010336,80.4,-3.04,0.39270000000000005,-0.14285,0.0,386.0,1
1628251882.010713,46.08,0.48,-1.3566,-0.5714,100.0,387.0,8
1628251882.011497,107.16,0.48,-1.9278000000000002,0.42855,78.0,388.0,30
1628251882.014211,46.04,0.32,-1.33875,-0.42855,96.0,394.0,8
1628251882.060096,124.24000000000001,-2.64,0.0,-0.99995,27.0,384.0,34
